id;total_price;status;create_date;update_date
1;48469;SERVE;2020-04-24T19:06:22;2020-04-24T22:24:08
2;66933;SERVE;2020-04-25T15:20:59;2020-04-25T00:03:45
3;20742;PREPARE;2020-04-25T06:10:15;2020-04-25T07:19:16
4;48734;PAY;2020-04-25T02:07:14;2020-04-25T08:10:26
5;67206;PREPARE;2020-04-25T07:05:32;2020-04-25T15:57:57
6;37759;SERVE;2020-04-25T05:23:46;2020-04-25T03:34:04
7;81431;CREATE;2020-04-25T06:09:25;2020-04-25T02:40:26
8;95773;PAY;2020-04-25T13:47:54;2020-04-25T07:35:14
9;84224;PAY;2020-04-25T09:56:08;2020-04-25T00:10:01
10;59271;CREATE;2020-04-25T05:06:21;2020-04-25T09:38:08
